"Infralimbic area, layer 2/3",33
"Primary somatosensory area, nose, layer 2/3",15
"Substantia nigra, reticular part",96
"Primary somatosensory area, barrel field, layer 6b",28
Posterior amygdalar nucleus,24
"Orbital area, lateral part, layer 6a",14
Central lateral nucleus of the thalamus,21
"Olfactory tubercle, pyramidal layer",79
Medial vestibular nucleus,76
"Ventral auditory area, layer 6a",34
Medial pretectal area,6
"Superior colliculus, motor related, intermediate white layer",55
"Retrosplenial area, ventral part, layer 5",95
"Subparafascicular nucleus, parvicellular part",12
"Primary somatosensory area, barrel field, layer 5",139
Intermediodorsal nucleus of the thalamus,13
"Orbital area, ventrolateral part, layer 6b",1
"Globus pallidus, internal segment",23
"Nucleus of the solitary tract, medial part",26
Periaqueductal gray,327
"Entorhinal area, medial part, dorsal zone, layer 5",11
"Secondary motor area, layer 6a",103
"Secondary motor area, layer 6b",5
Inferior olivary complex,47
"Piriform area, molecular layer",329
"Dorsomedial nucleus of the hypothalamus, ventral part",10
"Main olfactory bulb, inner plexiform layer",78
Basic cell groups and regions,1730
"Temporal association areas, layer 1",43
"Primary somatosensory area, unassigned, layer 2/3",41
"Temporal association areas, layer 5",71
"Temporal association areas, layer 4",26
"Lobules IV-V, molecular layer",263
"posteromedial visual area, layer 4",3
Nucleus of Roller,3
"posteromedial visual area, layer 1",10
"Superior colliculus, superficial gray layer",86
"Ventral auditory area, layer 2/3",34
"Prelimbic area, layer 6a",14
"Cortical amygdalar area, anterior part, layer 2",17
"Cortical amygdalar area, anterior part, layer 1",17
"Primary motor area, Layer 1",125
Nucleus prepositus,17
"Primary motor area, Layer 5",220
"Basomedial amygdalar nucleus, anterior part",16
"Taenia tecta, dorsal part, layer 2",29
"Taenia tecta, dorsal part, layer 3",30
"Parabrachial nucleus, lateral division, ventral lateral part",5
"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",13
"Main olfactory bulb, granule layer",363
"Declive (VI), granular layer",87
"Paraventricular hypothalamic nucleus, descending division, forniceal part",1
Nucleus of the posterior commissure,17
"Infralimbic area, layer 6a",24
"Infralimbic area, layer 6b",7
"Globus pallidus, external segment",118
Parapyramidal nucleus,3
Precommissural nucleus,5
"Piriform-amygdalar area, molecular layer",22
"Field CA2, stratum radiatum",12
Oculomotor nucleus,4
"Anterior cingulate area, ventral part, layer 2/3",47
Infracerebellar nucleus,1
"Primary somatosensory area, upper limb, layer 2/3",95
"Field CA1, stratum oriens",124
"Retrosplenial area, ventral part, layer 1",51
"Field CA3, stratum lucidum",17
"Field CA3, stratum radiatum",106
"Ventral auditory area, layer 6b",8
"Parabrachial nucleus, lateral division, superior lateral part",7
"Frontal pole, layer 1",57
"Basomedial amygdalar nucleus, posterior part",51
"Field CA3, pyramidal layer",89
"Primary visual area, layer 1",56
"Primary visual area, layer 4",50
"Primary visual area, layer 5",103
Fundus of striatum,27
Magnocellular reticular nucleus,49
"Posterior parietal association areas, layer 1",30
"Posterior parietal association areas, layer 4",18
"Main olfactory bulb, outer plexiform layer",355
Superior vestibular nucleus,31
Ventral premammillary nucleus,4
Submedial nucleus of the thalamus,11
"Lateral visual area, layer 6b",3
"Anterior cingulate area, ventral part, layer 5",38
"Crus 2, granular layer",131
Intermediate reticular nucleus,163
"Anterior olfactory nucleus, posteroventral part",47
"Subparafascicular nucleus, magnocellular part",7
"Postpiriform transition area, layers 3",33
Nucleus accumbens,314
Magnocellular nucleus,27
"Retrosplenial area, dorsal part, layer 6b",2
"Retrosplenial area, dorsal part, layer 6a",35
"Basolateral amygdalar nucleus, posterior part",26
"Periventricular hypothalamic nucleus, preoptic part",3
"Entorhinal area, lateral part, layer 6a",71
"Anterior cingulate area, dorsal part, layer 2/3",53
"Gustatory areas, layer 1",27
"Entorhinal area, lateral part, layer 6b",13
"Gustatory areas, layer 5",48
"Gustatory areas, layer 4",12
Gigantocellular reticular nucleus,187
"Ventromedial hypothalamic nucleus, dorsomedial part",9
"Bed nuclei of the stria terminalis, posterior division, principal nucleus",20
Ventral anterior-lateral complex of the thalamus,67
"Taenia tecta, dorsal part, layer 1",27
"Anteromedial nucleus, ventral part",4
Nucleus x,3
Nucleus y,3
Anteroventral nucleus of thalamus,28
Islands of Calleja,15
"Orbital area, ventrolateral part, layer 1",19
"Supplemental somatosensory area, layer 2/3",100
Red nucleus,26
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",20
"Subiculum, ventral part, molecular layer",51
Lateral habenula,24
Thalamus,180
"Simple lobule, molecular layer",196
"Temporal association areas, layer 2/3",54
"Superior colliculus, optic layer",29
"Dorsal peduncular area, layer 5",2
"Posterolateral visual area, layer 5",9
"Dorsal auditory area, layer 5",43
"Dorsal auditory area, layer 4",22
Pons,508
"Dorsal auditory area, layer 1",22
Posterior hypothalamic nucleus,48
Cerebral cortex,90
"Entorhinal area, lateral part, layer 2",1
"Entorhinal area, lateral part, layer 3",84
"Entorhinal area, lateral part, layer 1",98
"Retrosplenial area, ventral part, layer 6b",4
"Retrosplenial area, ventral part, layer 6a",47
"Entorhinal area, lateral part, layer 5",70
"Taenia tecta, dorsal part, layer 4",5
"Field CA1, stratum radiatum",190
"Anterior hypothalamic nucleus, posterior part",9
Nucleus ambiguus,3
"Supramammillary nucleus, medial part",4
Parvicellular reticular nucleus,88
"Piriform-amygdalar area, polymorph layer",15
Ectorhinal area/Layer 2/3,68
"Anterior olfactory nucleus, external part",26
"Dentate gyrus, polymorph layer",39
"Midbrain reticular nucleus, retrorubral area",29
Retrochiasmatic area,18
"Superior central nucleus raphe, medial part",17
Main olfactory bulb,218
"Anterior olfactory nucleus, medial part",44
"Paraflocculus, molecular layer",199
"Cortical amygdalar area, posterior part, medial zone, layer 1",13
"Entorhinal area, lateral part, layer 4",35
"Ventral posteromedial nucleus of the thalamus, parvicellular part",17
Fasciola cinerea,6
"Orbital area, lateral part, layer 5",35
"Spinal nucleus of the trigeminal, oral part, ventrolateral part",28
Interstitial nucleus of Cajal,4
"Retrosplenial area, ventral part, layer 2/3",51
"Basolateral amygdalar nucleus, anterior part",52
"Dorsal peduncular area, layer 1",4
"Anterior cingulate area, ventral part, 6b",6
"Anterior cingulate area, ventral part, 6a",16
Ventral posterolateral nucleus of the thalamus,52
"Primary motor area, Layer 2/3",255
Peripeduncular nucleus,7
Caudoputamen,1641
"Anterior olfactory nucleus, layer 1",80
"Dorsal peduncular area, layer 6a",1
"Lateral visual area, layer 2/3",13
"Agranular insular area, posterior part, layer 1",25
"Paragigantocellular reticular nucleus, lateral part",55
"Postpiriform transition area, layers 2",13
"Nucleus of the lateral lemniscus, horizontal part",4
"Postpiriform transition area, layers 1",24
"Nucleus of the lateral olfactory tract, pyramidal layer",9
"Parabrachial nucleus, medial division, medial medial part",13
Intergeniculate leaflet of the lateral geniculate complex,5
"Lobules IV-V, granular layer",187
"Bed nuclei of the stria terminalis, anterior division, oval nucleus",5
Nucleus of the brachium of the inferior colliculus,8
Midbrain,301
Rhomboid nucleus,11
"Lateral septal nucleus, caudal (caudodorsal) part",51
"Accessory olfactory bulb, granular layer",11
"Anterolateral visual area, layer 4",14
"Anterolateral visual area, layer 5",37
"Anterolateral visual area, layer 1",25
"Field CA2, pyramidal layer",7
"posteromedial visual area, layer 5",22
third ventricle,3
"Entorhinal area, lateral part, layer 2b",65
Dorsal cochlear nucleus,35
"Posterior auditory area, layer 2/3",6
"Medullary reticular nucleus, dorsal part",33
"Infralimbic area, layer 1",18
Posterior limiting nucleus of the thalamus,9
"Infralimbic area, layer 2",6
Accessory olfactory bulb,26
"Ventral posterolateral nucleus of the thalamus, parvicellular part",6
Parasubthalamic nucleus,4
Anterodorsal nucleus,14
Septohippocampal nucleus,6
Vascular organ of the lamina terminalis,1
Midbrain reticular nucleus,336
Interanterodorsal nucleus of the thalamus,6
"Primary somatosensory area, lower limb, layer 4",22
"Piriform-amygdalar area, pyramidal layer",10
"Primary auditory area, layer 1",21
"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",5
"Primary auditory area, layer 5",53
"Primary auditory area, layer 4",20
"Primary somatosensory area, barrel field, layer 6a",141
"Medullary reticular nucleus, ventral part",52
Pontine reticular nucleus,224
"Flocculus, granular layer",46
"Main olfactory bulb, glomerular layer",329
Dorsal motor nucleus of the vagus nerve,5
Interfascicular nucleus raphe,3
"Lateral visual area, layer 6a",6
Laterodorsal tegmental nucleus,6
"Primary somatosensory area, trunk, layer 1",33
"Prelimbic area, layer 5",27
"Prelimbic area, layer 2",10
"Prelimbic area, layer 1",31
"Prelimbic area, layer 2/3",28
"Medial preoptic nucleus, medial part",7
"Crus 1, granular layer",174
"Posterolateral visual area, layer 1",6
"Posterolateral visual area, layer 4",6
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",24
Interpeduncular nucleus,21
"Entorhinal area, medial part, ventral zone, layer 1",6
"Entorhinal area, medial part, ventral zone, layer 2",8
"Main olfactory bulb, mitral layer",53
"Dorsomedial nucleus of the hypothalamus, anterior part",17
Subparaventricular zone,10
"Posterolateral visual area, layer 2/3",13
"Parabrachial nucleus, medial division, external medial part",4
"Orbital area, medial part, layer 2",6
"Lateral septal nucleus, ventral part",7
Motor nucleus of trigeminal,37
"Subiculum, dorsal part, stratum radiatum",20
Abducens nucleus,1
"Nodulus (X), granular layer",46
Dorsal nucleus raphe,11
"Primary somatosensory area, lower limb, layer 5",60
"Primary somatosensory area, lower limb, layer 1",27
Gracile nucleus,2
Ventrolateral preoptic nucleus,3
"Primary visual area, layer 6b",13
"Primary visual area, layer 6a",61
"Medial amygdalar nucleus, posterodorsal part, sublayer a",6
"Medial amygdalar nucleus, posterodorsal part, sublayer b",5
"Medial amygdalar nucleus, posterodorsal part, sublayer c",10
"Retrosplenial area, dorsal part, layer 2/3",55
Anterior olfactory nucleus,38
Subparafascicular area,5
"Supplemental somatosensory area, layer 6b",21
"Posterolateral visual area, layer 6b",2
"Secondary motor area, layer 1",125
Ventral tegmental area,49
Supraoptic nucleus,5
Lateral reticular nucleus,3
Nucleus raphe pallidus,6
"Agranular insular area, dorsal part, layer 6a",16
Ventral cochlear nucleus,64
"Primary somatosensory area, barrel field, layer 2/3",180
"Copula pyramidis, molecular layer",59
Cuneate nucleus,10
"Central amygdalar nucleus, capsular part",30
Barrington's nucleus,1
"Agranular insular area, ventral part, layer 2/3",24
"Folium-tuber vermis (VII), granular layer",9
Lateral mammillary nucleus,5
"Nucleus ambiguus, ventral division",6
"Spinal nucleus of the trigeminal, caudal part",46
"Visceral area, layer 6b",6
"Visceral area, layer 6a",26
"Retrosplenial area, dorsal part, layer 5",56
Parabigeminal nucleus,4
"Retrosplenial area, ventral part, layer 2",22
"Retrosplenial area, dorsal part, layer 1",41
Lateral amygdalar nucleus,47
"Nucleus of the lateral lemniscus, ventral part",47
"Superior olivary complex, periolivary region",60
"Medial geniculate complex, medial part",14
"Lobule III, granular layer",74
Ventral tegmental nucleus,3
Suprageniculate nucleus,6
Medial preoptic area,60
"Lingula (I), granular layer",3
"Medial preoptic nucleus, lateral part",4
"Anteromedial visual area, layer 6b",4
"Anteromedial visual area, layer 6a",30
Septofimbrial nucleus,19
Pontine gray,48
Inferior salivatory nucleus,4
"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",1
"Parabrachial nucleus, lateral division, dorsal lateral part",5
Ectorhinal area/Layer 6b,7
Ectorhinal area/Layer 6a,27
"Field CA1, stratum lacunosum-moleculare",142
"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",5
"Posterior auditory area, layer 1",3
"Posterior auditory area, layer 5",8
"Secondary motor area, layer 5",209
External cuneate nucleus,20
"Subiculum, ventral part, stratum radiatum",31
"Paramedian lobule, granular layer",99
"Agranular insular area, dorsal part, layer 5",40
Facial motor nucleus,41
Zona incerta,131
Nucleus raphe obscurus,4
"Agranular insular area, dorsal part, layer 1",28
"Agranular insular area, dorsal part, layer 2/3",80
"Frontal pole, layer 2/3",19
"Superior olivary complex, lateral part",3
Median preoptic nucleus,14
"Dorsomedial nucleus of the hypothalamus, posterior part",3
Ventral posteromedial nucleus of the thalamus,90
Nucleus raphe pontis,3
"Superior colliculus, motor related, deep gray layer",159
"Dentate gyrus, granule cell layer",95
Nucleus incertus,8
"Endopiriform nucleus, dorsal part",142
"Medial amygdalar nucleus, anteroventral part",21
Nucleus of the trapezoid body,13
"Agranular insular area, dorsal part, layer 6b",1
"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",3
"Primary somatosensory area, unassigned, layer 6a",25
"Olfactory tubercle, polymorph layer",66
Parafascicular nucleus,41
"Primary visual area, layer 2/3",119
"Primary somatosensory area, unassigned, layer 6b",4
"Accessory olfactory bulb, mitral layer",5
Hypoglossal nucleus,24
Anterior pretectal nucleus,54
"Retrosplenial area, lateral agranular part, layer 2/3",17
"Supplemental somatosensory area, layer 4",41
"Supplemental somatosensory area, layer 5",91
"Pyramus (VIII), granular layer",26
"Supplemental somatosensory area, layer 1",42
Ectorhinal area/Layer 1,42
"Periventricular hypothalamic nucleus, posterior part",5
Ectorhinal area/Layer 5,63
Nucleus of the optic tract,12
"Agranular insular area, posterior part, layer 6a",19
"Supramammillary nucleus, lateral part",10
"posteromedial visual area, layer 2/3",22
"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",3
"Posterior parietal association areas, layer 2/3",49
"Anterior olfactory nucleus, lateral part",43
Perireunensis nucleus,1
"Parabrachial nucleus, lateral division, central lateral part",9
Parastrial nucleus,4
"Agranular insular area, posterior part, layer 5",21
"Anterior cingulate area, dorsal part, layer 6b",6
"Anterior cingulate area, dorsal part, layer 6a",24
Spinal vestibular nucleus,33
"Dorsal peduncular area, layer 2/3",9
"Temporal association areas, layer 6b",11
Anteroventral periventricular nucleus,8
"Temporal association areas, layer 6a",40
"Uvula (IX), granular layer",57
"Primary somatosensory area, trunk, layer 6b",19
"Primary somatosensory area, trunk, layer 6a",61
"Primary somatosensory area, trunk, layer 2/3",85
Supragenual nucleus,1
"Superior colliculus, motor related, intermediate gray layer, sublayer a",33
Arcuate hypothalamic nucleus,18
"Superior colliculus, motor related, intermediate gray layer, sublayer c",16
"Superior colliculus, motor related, intermediate gray layer, sublayer b",71
Midbrain trigeminal nucleus,7
Lateral dorsal nucleus of thalamus,53
Pedunculopontine nucleus,29
"Medial geniculate complex, dorsal part",16
"Substantia nigra, compact part",29
"Lateral septal nucleus, rostral (rostroventral) part",154
Nucleus of Darkschewitsch,5
"Agranular insular area, ventral part, layer 6a",12
"Perirhinal area, layer 6b",7
"Orbital area, ventrolateral part, layer 2/3",43
"Mediodorsal nucleus of the thalamus, central part",12
"posteromedial visual area, layer 6b",1
"Bed nuclei of the stria terminalis, posterior division, strial extension",1
Induseum griseum,4
"Pontine reticular nucleus, caudal part",211
"Nodulus (X), molecular layer",38
"Primary somatosensory area, unassigned, layer 1",16
Reticular nucleus of the thalamus,99
"Primary somatosensory area, unassigned, layer 5",41
"Posterior auditory area, layer 6a",1
"Simple lobule, granular layer",155
Edinger-Westphal nucleus,2
Fastigial nucleus,26
"Gustatory areas, layer 6b",8
"Gustatory areas, layer 6a",45
"Olfactory tubercle, molecular layer",93
"Primary somatosensory area, lower limb, layer 6a",52
"Primary somatosensory area, lower limb, layer 6b",14
Major island of Calleja,2
"Central amygdalar nucleus, medial part",48
"Lateral visual area, layer 1",6
"Lateral visual area, layer 5",11
"Lateral visual area, layer 4",4
"Inferior colliculus, dorsal nucleus",80
"Anterior hypothalamic nucleus, central part",22
"Piriform area, polymorph layer",285
"Nucleus of the lateral lemniscus, dorsal part",13
"Medial geniculate complex, ventral part",30
"Entorhinal area, medial part, dorsal zone, layer 6",25
"Entorhinal area, medial part, dorsal zone, layer 4",8
Claustrum,55
"Entorhinal area, medial part, dorsal zone, layer 2",52
"Entorhinal area, medial part, dorsal zone, layer 3",47
"Entorhinal area, medial part, dorsal zone, layer 1",58
Nucleus sagulum,7
"Paragigantocellular reticular nucleus, dorsal part",14
Area postrema,1
Lateral preoptic area,82
"Field CA3, stratum oriens",106
"Anterior cingulate area, dorsal part, layer 5",47
"Anterior cingulate area, dorsal part, layer 1",48
"Primary somatosensory area, upper limb, layer 6a",70
"Primary somatosensory area, upper limb, layer 6b",14
Medial septal nucleus,39
Medial preoptic nucleus,1
"Parabrachial nucleus, lateral division, external lateral part",6
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",2
"Primary auditory area, layer 2/3",48
"Orbital area, ventrolateral part, layer 5",20
"Anterior olfactory nucleus, dorsal part",16
"Uvula (IX), molecular layer",63
Subceruleus nucleus,4
Interposed nucleus,35
"Orbital area, lateral part, layer 1",17
Triangular nucleus of septum,13
"Ventral auditory area, layer 5",44
"Ventral auditory area, layer 4",16
"Lingula (I), molecular layer",3
"Ventral auditory area, layer 1",24
"Field CA3, stratum lacunosum-moleculare",7
"Anteromedial visual area, layer 1",24
"Lobule II, granular layer",44
Tegmental reticular nucleus,51
Lateral vestibular nucleus,38
Anterodorsal preoptic nucleus,3
"Agranular insular area, ventral part, layer 5",22
Cerebellum,468
Central medial nucleus of the thalamus,20
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",3
"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",4
"Agranular insular area, posterior part, layer 2/3",27
Dorsal tegmental nucleus,5
"Primary somatosensory area, upper limb, layer 1",38
"Orbital area, lateral part, layer 2/3",47
"Orbital area, medial part, layer 1",10
"Primary somatosensory area, upper limb, layer 5",87
"Primary somatosensory area, upper limb, layer 4",38
"Orbital area, medial part, layer 5",14
"Perirhinal area, layer 1",23
"Posterolateral visual area, layer 6a",5
"Paraflocculus, granular layer",159
"Perirhinal area, layer 5",32
Suprachiasmatic nucleus,6
"Paramedian lobule, molecular layer",126
Dorsal part of the lateral geniculate complex,50
Nucleus raphe magnus,7
Lateral terminal nucleus of the accessory optic tract,2
"Entorhinal area, lateral part, layer 2a",56
"Anterolateral visual area, layer 6a",22
"Ventromedial hypothalamic nucleus, ventrolateral part",16
"Anterolateral visual area, layer 6b",4
"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",2
"Nucleus of the solitary tract, commissural part",2
"Endopiriform nucleus, ventral part",34
"Gustatory areas, layer 2/3",37
Locus ceruleus,3
Supratrigeminal nucleus,15
Koelliker-Fuse subnucleus,10
"Perirhinal area, layer 6a",13
"Medial amygdalar nucleus, anterodorsal part",52
Substantia innominata,223
"posteromedial visual area, layer 6a",13
Sublaterodorsal nucleus,4
"Retrosplenial area, lateral agranular part, layer 6b",3
"Retrosplenial area, lateral agranular part, layer 6a",15
Medulla,445
Olfactory areas,94
Cuneiform nucleus,25
"Accessory olfactory bulb, glomerular layer",7
"Primary auditory area, layer 6a",24
"Primary auditory area, layer 6b",9
Rostral linear nucleus raphe,3
Ventral medial nucleus of the thalamus,41
Striatum-like amygdalar nuclei,26
"Ventromedial hypothalamic nucleus, central part",10
"Inferior colliculus, external nucleus",188
"Field CA2, stratum lacunosum-moleculare",7
Dorsal premammillary nucleus,9
"Presubiculum, layer 1",29
"Presubiculum, layer 2",36
"Presubiculum, layer 3",23
Posterior pretectal nucleus,6
Lateral posterior nucleus of the thalamus,55
"Nucleus of the lateral olfactory tract, layer 3",6
"Infralimbic area, layer 5",30
Principal sensory nucleus of the trigeminal,84
"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",9
"Posterior parietal association areas, layer 5",52
Parataenial nucleus,14
"Superior colliculus, motor related, deep white layer",9
"Periventricular hypothalamic nucleus, intermediate part",13
"Primary somatosensory area, trunk, layer 4",34
"Primary somatosensory area, trunk, layer 5",78
"Subiculum, dorsal part, molecular layer",13
Subthalamic nucleus,19
Olivary pretectal nucleus,6
Lateral hypothalamic area,227
"Orbital area, ventrolateral part, layer 6a",28
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",23
"Taenia tecta, ventral part, layer 2",10
"Taenia tecta, ventral part, layer 3",7
"Taenia tecta, ventral part, layer 1",17
Medial habenula,12
Paracentral nucleus,14
Medial mammillary nucleus,19
"Primary somatosensory area, mouth, layer 1",23
"Superior central nucleus raphe, lateral part",17
Intercalated amygdalar nucleus,14
"Primary somatosensory area, mouth, layer 5",58
"Primary somatosensory area, mouth, layer 4",22
"Visceral area, layer 1",17
"Central amygdalar nucleus, lateral part",13
"Declive (VI), molecular layer",86
"Visceral area, layer 5",29
"Visceral area, layer 4",10
"Primary somatosensory area, nose, layer 4",6
"Primary somatosensory area, nose, layer 5",13
"Anterior cingulate area, ventral part, layer 1",48
"Primary somatosensory area, nose, layer 1",5
"Lobule II, molecular layer",47
"Primary somatosensory area, lower limb, layer 2/3",55
Parasolitary nucleus,1
"Basolateral amygdalar nucleus, ventral part",20
"Anteromedial visual area, layer 2/3",33
Linear nucleus of the medulla,5
"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",1
"Parasubiculum, layer 2",39
"Parasubiculum, layer 3",21
"Primary somatosensory area, unassigned, layer 4",15
"Parasubiculum, layer 1",10
"Postsubiculum, layer 2",19
"Postsubiculum, layer 3",15
"Postsubiculum, layer 1",12
"Primary motor area, Layer 6b",24
"Primary motor area, Layer 6a",152
"Flocculus, molecular layer",50
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",4
Posterior complex of the thalamus,76
"Visceral area, layer 2/3",22
"Anteromedial nucleus, dorsal part",26
Anterior amygdalar area,39
"Superior colliculus, zonal layer",48
"Orbital area, medial part, layer 2/3",12
"Field CA2, stratum oriens",11
"Secondary motor area, layer 2/3",204
"Crus 2, molecular layer",124
"Supplemental somatosensory area, layer 6a",84
"Medial amygdalar nucleus, posteroventral part",3
"Pyramus (VIII), molecular layer",21
"Perirhinal area, layer 2/3",30
"Inferior colliculus, central nucleus",105
Nucleus of reunions,42
"Lobule III, molecular layer",90
"Lateral reticular nucleus, magnocellular part",30
"Cortical amygdalar area, posterior part, lateral zone, layer 2",21
"Cortical amygdalar area, posterior part, lateral zone, layer 3",24
"Cortical amygdalar area, posterior part, lateral zone, layer 1",20
Diagonal band nucleus,83
"Agranular insular area, ventral part, layer 1",9
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",5
"Folium-tuber vermis (VII), molecular layer",18
"Anterior hypothalamic nucleus, anterior part",17
"Field CA1, pyramidal layer",140
"Orbital area, medial part, layer 6a",7
"Subiculum, dorsal part, pyramidal layer",64
"Copula pyramidis, granular layer",61
"Primary somatosensory area, barrel field, layer 1",70
"Lateral reticular nucleus, parvicellular part",2
"Mediodorsal nucleus of the thalamus, medial part",36
"Primary somatosensory area, barrel field, layer 4",84
"Retrosplenial area, lateral agranular part, layer 5",19
Anteroventral preoptic nucleus,6
"Retrosplenial area, lateral agranular part, layer 1",11
"Spinal nucleus of the trigeminal, interpolar part",118
Paraventricular nucleus of the thalamus,44
"Primary somatosensory area, mouth, layer 2/3",59
"Dentate gyrus, molecular layer",264
"Superior colliculus, motor related, intermediate gray layer",110
Ventral part of the lateral geniculate complex,37
Dentate nucleus,22
"Crus 1, molecular layer",190
"Mediodorsal nucleus of the thalamus, lateral part",35
"Nucleus of the solitary tract, lateral part",20
Central linear nucleus raphe,8
"Cortical amygdalar area, posterior part, medial zone, layer 2",15
"Cortical amygdalar area, posterior part, medial zone, layer 3",23
"Subiculum, ventral part, pyramidal layer",170
"Anteromedial visual area, layer 4",13
"Anteromedial visual area, layer 5",33
Tuberal nucleus,32
"Periventricular hypothalamic nucleus, anterior part",4
"Primary somatosensory area, mouth, layer 6a",42
"Primary somatosensory area, mouth, layer 6b",9
"Cochlear nucleus, subpedunclular granular region",2
invalid,46982
"Tuberomammillary nucleus, ventral part",1
Granular lamina of the cochlear nuclei,1
Fields of Forel,3
"Dorsal auditory area, layer 2/3",47
"Tuberomammillary nucleus, dorsal part",1
"Entorhinal area, lateral part, layer 4/5",13
"Primary somatosensory area, nose, layer 6b",2
"Primary somatosensory area, nose, layer 6a",13
Median eminence,4
"Nucleus of the lateral olfactory tract, molecular layer",16
"Piriform area, pyramidal layer",247
"Dorsal auditory area, layer 6b",9
"Dorsal auditory area, layer 6a",32
Dopaminergic A13 group,2
Pontine central gray,44
"Entorhinal area, lateral part, layer 2/3",14
Hypothalamus,101
"Posterior parietal association areas, layer 6a",38
"Posterior parietal association areas, layer 6b",12
"Anterolateral visual area, layer 2/3",38
