"Infralimbic area, layer 2/3",11
"Primary somatosensory area, nose, layer 2/3",6
"Substantia nigra, reticular part",27
"Primary somatosensory area, barrel field, layer 6b",15
Posterior amygdalar nucleus,1
"Orbital area, lateral part, layer 6a",6
Central lateral nucleus of the thalamus,5
"Olfactory tubercle, pyramidal layer",15
Medial vestibular nucleus,29
"Ventral auditory area, layer 6a",19
Medial pretectal area,3
"Superior colliculus, motor related, intermediate white layer",19
"Retrosplenial area, ventral part, layer 5",17
"Subparafascicular nucleus, parvicellular part",6
"Primary somatosensory area, barrel field, layer 5",67
Intermediodorsal nucleus of the thalamus,8
"Globus pallidus, internal segment",12
"Nucleus of the solitary tract, medial part",4
"Secondary motor area, layer 6a",45
"Secondary motor area, layer 6b",5
Inferior olivary complex,5
"Piriform area, molecular layer",72
"Entorhinal area, medial part, dorsal zone, layer 5",6
"Main olfactory bulb, inner plexiform layer",20
Lateral vestibular nucleus,16
"Primary somatosensory area, unassigned, layer 2/3",20
"Temporal association areas, layer 5",44
"Temporal association areas, layer 4",11
"Lobules IV-V, molecular layer",36
"posteromedial visual area, layer 4",1
"posteromedial visual area, layer 5",8
"Uvula (IX), granular layer",9
"Ventral auditory area, layer 2/3",12
"Prelimbic area, layer 6a",7
"Cortical amygdalar area, anterior part, layer 2",2
"Cortical amygdalar area, anterior part, layer 1",3
"Prelimbic area, layer 6b",1
"Primary motor area, Layer 1",18
Nucleus prepositus,7
"Primary motor area, Layer 5",92
"Basomedial amygdalar nucleus, anterior part",9
"Taenia tecta, dorsal part, layer 2",11
"Taenia tecta, dorsal part, layer 3",5
"Parabrachial nucleus, lateral division, ventral lateral part",1
"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",1
"Main olfactory bulb, granule layer",101
"Declive (VI), granular layer",4
Nucleus of the posterior commissure,5
"Infralimbic area, layer 6a",10
"Infralimbic area, layer 6b",1
"Globus pallidus, external segment",36
"Lobules IV-V, granular layer",20
Precommissural nucleus,1
"Piriform-amygdalar area, molecular layer",5
"Field CA2, stratum radiatum",4
"Anterior cingulate area, ventral part, layer 2/3",24
"Field CA1, stratum oriens",38
"Retrosplenial area, ventral part, layer 1",7
"Field CA3, stratum lucidum",10
"Field CA3, stratum radiatum",43
"Mediodorsal nucleus of the thalamus, lateral part",12
"Ventral auditory area, layer 6b",2
"Parabrachial nucleus, lateral division, superior lateral part",3
"Frontal pole, layer 1",10
"Basomedial amygdalar nucleus, posterior part",16
"Field CA3, pyramidal layer",32
"Primary visual area, layer 1",9
"Primary visual area, layer 4",28
"Primary visual area, layer 5",42
Fundus of striatum,12
Magnocellular reticular nucleus,14
"Posterior parietal association areas, layer 1",10
"Posterior parietal association areas, layer 4",7
"Main olfactory bulb, outer plexiform layer",88
Superior vestibular nucleus,10
Ventral premammillary nucleus,1
Submedial nucleus of the thalamus,7
"Lateral visual area, layer 6b",2
"Anterior cingulate area, ventral part, layer 5",15
"Crus 2, granular layer",12
Intermediate reticular nucleus,56
"Anterior olfactory nucleus, posteroventral part",20
"Subparafascicular nucleus, magnocellular part",4
"Postpiriform transition area, layers 3",2
Nucleus accumbens,144
Magnocellular nucleus,9
"Retrosplenial area, dorsal part, layer 6b",1
"Retrosplenial area, dorsal part, layer 6a",12
"Basolateral amygdalar nucleus, posterior part",5
"Periventricular hypothalamic nucleus, preoptic part",2
"Entorhinal area, lateral part, layer 6a",33
"Anterior cingulate area, dorsal part, layer 2/3",17
"Gustatory areas, layer 1",1
"Entorhinal area, lateral part, layer 6b",3
"Gustatory areas, layer 5",11
"Gustatory areas, layer 4",4
Gigantocellular reticular nucleus,59
"Ventromedial hypothalamic nucleus, dorsomedial part",2
"Bed nuclei of the stria terminalis, posterior division, principal nucleus",9
Ventral anterior-lateral complex of the thalamus,30
"Taenia tecta, dorsal part, layer 1",11
Nucleus y,1
Anteroventral nucleus of thalamus,11
Islands of Calleja,6
"Supplemental somatosensory area, layer 2/3",38
Red nucleus,11
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",9
"Subiculum, ventral part, molecular layer",12
Lateral habenula,4
"Simple lobule, molecular layer",38
"Temporal association areas, layer 2/3",16
"Superior colliculus, optic layer",5
"Posterolateral visual area, layer 5",4
"Dorsal auditory area, layer 5",18
"Dorsal auditory area, layer 4",9
"Dorsal auditory area, layer 1",2
Posterior hypothalamic nucleus,20
"Entorhinal area, lateral part, layer 2",2
"Entorhinal area, lateral part, layer 3",25
"Entorhinal area, lateral part, layer 1",11
"Retrosplenial area, ventral part, layer 6b",3
"Retrosplenial area, ventral part, layer 6a",7
"Entorhinal area, lateral part, layer 5",31
"Taenia tecta, dorsal part, layer 4",3
"Field CA1, stratum radiatum",58
"Anterior hypothalamic nucleus, posterior part",5
"Supramammillary nucleus, medial part",4
Parvicellular reticular nucleus,47
"Piriform-amygdalar area, polymorph layer",10
Ectorhinal area/Layer 2/3,29
"Anterior olfactory nucleus, external part",3
"Dentate gyrus, polymorph layer",19
"Midbrain reticular nucleus, retrorubral area",6
"Superior central nucleus raphe, medial part",7
"Anterior olfactory nucleus, medial part",15
"Paraflocculus, molecular layer",11
"Cortical amygdalar area, posterior part, medial zone, layer 1",2
Cuneate nucleus,4
"Ventral posteromedial nucleus of the thalamus, parvicellular part",5
Fasciola cinerea,4
Triangular nucleus of septum,3
"Spinal nucleus of the trigeminal, oral part, ventrolateral part",13
"Retrosplenial area, ventral part, layer 2/3",12
"Basolateral amygdalar nucleus, anterior part",14
Facial motor nucleus,14
"Anterior cingulate area, ventral part, 6b",1
"Anterior cingulate area, ventral part, 6a",7
Ventral posterolateral nucleus of the thalamus,26
"Primary motor area, Layer 2/3",111
Peripeduncular nucleus,4
Caudoputamen,646
"Anterior olfactory nucleus, layer 1",22
"Dorsal peduncular area, layer 6a",1
"Lateral visual area, layer 2/3",4
"Agranular insular area, posterior part, layer 1",3
"Paragigantocellular reticular nucleus, lateral part",4
"Postpiriform transition area, layers 2",1
"Agranular insular area, posterior part, layer 5",7
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",3
"Postpiriform transition area, layers 1",3
"Nucleus of the lateral olfactory tract, pyramidal layer",5
"Parabrachial nucleus, medial division, medial medial part",4
Intergeniculate leaflet of the lateral geniculate complex,1
"Bed nuclei of the stria terminalis, anterior division, oval nucleus",3
Nucleus of the brachium of the inferior colliculus,1
Rhomboid nucleus,9
"Lateral septal nucleus, caudal (caudodorsal) part",14
"Accessory olfactory bulb, granular layer",3
"Anterolateral visual area, layer 4",4
"Anterolateral visual area, layer 5",17
"Anterolateral visual area, layer 1",3
"Field CA2, pyramidal layer",4
"Entorhinal area, lateral part, layer 2a",15
"Entorhinal area, lateral part, layer 2b",8
Dorsal cochlear nucleus,7
"Medullary reticular nucleus, dorsal part",6
"Infralimbic area, layer 1",6
"Infralimbic area, layer 2",1
"Infralimbic area, layer 5",15
Parasubthalamic nucleus,2
Anterodorsal nucleus,6
Septohippocampal nucleus,5
Interanterodorsal nucleus of the thalamus,1
"Primary somatosensory area, lower limb, layer 4",9
"Piriform-amygdalar area, pyramidal layer",2
"Primary auditory area, layer 1",3
"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",3
"Primary auditory area, layer 5",23
"Primary auditory area, layer 4",3
"Primary somatosensory area, barrel field, layer 6a",55
"Medullary reticular nucleus, ventral part",20
Pontine reticular nucleus,96
"Flocculus, granular layer",6
"Main olfactory bulb, glomerular layer",73
"Superior colliculus, superficial gray layer",11
Interfascicular nucleus raphe,1
"Accessory olfactory bulb, glomerular layer",5
"Lateral visual area, layer 6a",5
Laterodorsal tegmental nucleus,3
"Primary somatosensory area, trunk, layer 1",5
"Prelimbic area, layer 5",12
"Prelimbic area, layer 2",6
"Prelimbic area, layer 1",13
"Prelimbic area, layer 2/3",6
"Crus 1, granular layer",25
"Posterolateral visual area, layer 1",2
"Posterolateral visual area, layer 4",4
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",3
Trochlear nucleus,1
"Main olfactory bulb, mitral layer",16
"Dorsomedial nucleus of the hypothalamus, anterior part",11
Anterior tegmental nucleus,1
"Posterolateral visual area, layer 2/3",3
"Dorsal peduncular area, layer 5",2
"Lateral septal nucleus, ventral part",5
Motor nucleus of trigeminal,7
"Subiculum, dorsal part, stratum radiatum",9
"Nodulus (X), granular layer",2
Dorsal nucleus raphe,3
"Primary somatosensory area, lower limb, layer 5",23
"Primary somatosensory area, lower limb, layer 1",3
Ventrolateral preoptic nucleus,4
"Primary visual area, layer 6b",2
"Primary visual area, layer 6a",13
Subgeniculate nucleus,1
"Medial amygdalar nucleus, posterodorsal part, sublayer a",3
"Medial amygdalar nucleus, posterodorsal part, sublayer b",5
"Medial amygdalar nucleus, posterodorsal part, sublayer c",2
"Retrosplenial area, dorsal part, layer 2/3",9
Subparafascicular area,2
"Supplemental somatosensory area, layer 6b",8
"Secondary motor area, layer 1",15
Ventral tegmental area,28
"Secondary motor area, layer 5",75
Median preoptic nucleus,3
Ventral posteromedial nucleus of the thalamus,34
"Agranular insular area, dorsal part, layer 6a",10
Ventral cochlear nucleus,12
"Primary somatosensory area, barrel field, layer 2/3",75
"Copula pyramidis, molecular layer",6
"Central amygdalar nucleus, capsular part",11
"Agranular insular area, ventral part, layer 2/3",10
"Spinal nucleus of the trigeminal, caudal part",14
"Visceral area, layer 6b",2
"Visceral area, layer 6a",9
"Retrosplenial area, dorsal part, layer 5",20
"Retrosplenial area, ventral part, layer 2",4
"Retrosplenial area, dorsal part, layer 1",3
Lateral amygdalar nucleus,19
"Nucleus of the lateral lemniscus, ventral part",9
"Superior olivary complex, periolivary region",22
"Medial geniculate complex, medial part",4
"Lobule III, granular layer",17
Suprageniculate nucleus,1
Medial preoptic area,7
"Medial preoptic nucleus, lateral part",2
"Anteromedial visual area, layer 6b",3
"Anteromedial visual area, layer 6a",10
Septofimbrial nucleus,4
Pontine gray,8
Inferior salivatory nucleus,1
Ectorhinal area/Layer 6b,5
"Entorhinal area, lateral part, layer 4",17
"Field CA1, stratum lacunosum-moleculare",48
Interanteromedial nucleus of the thalamus,4
"Posterior auditory area, layer 4",1
"Posterior auditory area, layer 5",1
External cuneate nucleus,8
"Subiculum, ventral part, stratum radiatum",10
"Paramedian lobule, granular layer",11
"Agranular insular area, dorsal part, layer 5",16
Nucleus raphe obscurus,1
"Agranular insular area, dorsal part, layer 1",8
"Agranular insular area, dorsal part, layer 2/3",16
"Frontal pole, layer 2/3",3
"Superior olivary complex, lateral part",4
"Dorsomedial nucleus of the hypothalamus, posterior part",1
"Anteromedial nucleus, ventral part",2
Nucleus raphe pontis,3
"Superior colliculus, motor related, deep gray layer",46
"Dentate gyrus, granule cell layer",37
Nucleus incertus,2
"Endopiriform nucleus, dorsal part",54
"Superior olivary complex, medial part",1
Nucleus of the trapezoid body,3
"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",1
"Primary somatosensory area, unassigned, layer 6a",10
"Olfactory tubercle, polymorph layer",29
Parafascicular nucleus,21
"Primary visual area, layer 2/3",51
"Primary somatosensory area, unassigned, layer 6b",4
"Accessory olfactory bulb, mitral layer",7
Hypoglossal nucleus,8
Bed nucleus of the accessory olfactory tract,1
Anterior pretectal nucleus,25
"Retrosplenial area, lateral agranular part, layer 2/3",2
"Supplemental somatosensory area, layer 4",16
"Supplemental somatosensory area, layer 5",34
"Supplemental somatosensory area, layer 1",3
Ectorhinal area/Layer 1,3
"Nucleus of the solitary tract, lateral part",7
Ectorhinal area/Layer 5,24
Nucleus of the optic tract,2
"Agranular insular area, posterior part, layer 6a",5
"Supramammillary nucleus, lateral part",3
"posteromedial visual area, layer 2/3",4
"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",2
"Posterior parietal association areas, layer 2/3",20
"Anterior olfactory nucleus, lateral part",24
"Parabrachial nucleus, lateral division, central lateral part",3
Parastrial nucleus,1
"Medial amygdalar nucleus, anteroventral part",11
"Anterior cingulate area, dorsal part, layer 6a",4
Spinal vestibular nucleus,13
"Temporal association areas, layer 6b",5
"Temporal association areas, layer 6a",15
"Primary somatosensory area, trunk, layer 6b",5
"Primary somatosensory area, trunk, layer 6a",30
"Primary somatosensory area, trunk, layer 2/3",44
"Superior colliculus, motor related, intermediate gray layer, sublayer a",14
"Superior colliculus, motor related, intermediate gray layer, sublayer c",5
"Superior colliculus, motor related, intermediate gray layer, sublayer b",24
Midbrain trigeminal nucleus,1
Lateral dorsal nucleus of thalamus,29
Pedunculopontine nucleus,8
"Medial geniculate complex, dorsal part",5
"Substantia nigra, compact part",9
"Dentate gyrus, molecular layer",82
"Lateral septal nucleus, rostral (rostroventral) part",72
Nucleus of Darkschewitsch,2
"Agranular insular area, ventral part, layer 6a",1
"Perirhinal area, layer 6b",2
"Orbital area, ventrolateral part, layer 2/3",17
"Mediodorsal nucleus of the thalamus, central part",6
"posteromedial visual area, layer 6b",1
"Bed nuclei of the stria terminalis, posterior division, strial extension",1
Induseum griseum,4
Accessory facial motor nucleus,1
"Pontine reticular nucleus, caudal part",77
"Nodulus (X), molecular layer",12
"Primary somatosensory area, unassigned, layer 1",3
Reticular nucleus of the thalamus,43
"Primary somatosensory area, unassigned, layer 5",17
"Simple lobule, granular layer",33
Fastigial nucleus,1
"Gustatory areas, layer 6b",5
"Gustatory areas, layer 6a",9
"Olfactory tubercle, molecular layer",15
"Primary somatosensory area, lower limb, layer 6a",12
"Primary somatosensory area, lower limb, layer 6b",1
Major island of Calleja,1
"Central amygdalar nucleus, medial part",16
"Lateral visual area, layer 1",4
"Lateral visual area, layer 5",7
"Lateral visual area, layer 4",3
"Inferior colliculus, dorsal nucleus",10
"Piriform area, polymorph layer",106
"Nucleus of the lateral lemniscus, dorsal part",4
"Medial geniculate complex, ventral part",9
"Entorhinal area, medial part, dorsal zone, layer 6",11
"Entorhinal area, medial part, dorsal zone, layer 4",3
Claustrum,34
"Entorhinal area, medial part, dorsal zone, layer 2",13
"Entorhinal area, medial part, dorsal zone, layer 3",6
"Entorhinal area, medial part, dorsal zone, layer 1",5
Nucleus sagulum,1
"Paragigantocellular reticular nucleus, dorsal part",7
Lateral preoptic area,28
"Field CA3, stratum oriens",44
"Anterior cingulate area, dorsal part, layer 5",22
"Anterior cingulate area, dorsal part, layer 1",14
"Primary somatosensory area, upper limb, layer 6a",27
"Primary somatosensory area, upper limb, layer 6b",6
"Orbital area, medial part, layer 2",4
Medial septal nucleus,19
"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",1
"Orbital area, ventrolateral part, layer 1",9
"Primary auditory area, layer 2/3",11
"Orbital area, ventrolateral part, layer 5",3
"Anterior olfactory nucleus, dorsal part",9
"Uvula (IX), molecular layer",9
Dorsal premammillary nucleus,2
Interposed nucleus,8
"Orbital area, lateral part, layer 1",8
"Orbital area, lateral part, layer 5",8
"Ventral auditory area, layer 5",19
"Ventral auditory area, layer 4",7
"Lingula (I), molecular layer",1
"Ventral auditory area, layer 1",1
"Field CA3, stratum lacunosum-moleculare",2
"Lobule II, granular layer",17
Tegmental reticular nucleus,17
"Agranular insular area, ventral part, layer 1",4
Posterior limiting nucleus of the thalamus,4
"Agranular insular area, ventral part, layer 5",5
Central medial nucleus of the thalamus,12
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",2
"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",1
"Agranular insular area, posterior part, layer 2/3",7
Dorsal tegmental nucleus,1
"Primary somatosensory area, upper limb, layer 1",8
"Orbital area, lateral part, layer 2/3",26
"Orbital area, medial part, layer 1",5
"Primary somatosensory area, upper limb, layer 5",33
"Primary somatosensory area, upper limb, layer 4",14
"Orbital area, medial part, layer 5",12
"Perirhinal area, layer 1",4
"Posterolateral visual area, layer 6a",4
"Paraflocculus, granular layer",11
"Perirhinal area, layer 5",8
"Paramedian lobule, molecular layer",12
Nucleus raphe magnus,3
Subfornical organ,1
"Anterolateral visual area, layer 6a",7
"Ventromedial hypothalamic nucleus, ventrolateral part",1
"Anterolateral visual area, layer 6b",3
"Nucleus of the solitary tract, commissural part",3
"Endopiriform nucleus, ventral part",19
"Gustatory areas, layer 2/3",20
Supratrigeminal nucleus,9
Koelliker-Fuse subnucleus,5
"Perirhinal area, layer 6a",1
"Medial amygdalar nucleus, anterodorsal part",25
Substantia innominata,75
"posteromedial visual area, layer 6a",2
Sublaterodorsal nucleus,3
"Retrosplenial area, lateral agranular part, layer 6b",1
"Retrosplenial area, lateral agranular part, layer 6a",6
"Dorsal peduncular area, layer 2/3",1
Cuneiform nucleus,10
"Posterior parietal association areas, layer 5",36
"Primary auditory area, layer 6a",19
"Primary auditory area, layer 6b",3
Rostral linear nucleus raphe,1
Ventral medial nucleus of the thalamus,18
"Ventromedial hypothalamic nucleus, central part",4
"Inferior colliculus, external nucleus",44
"Field CA2, stratum lacunosum-moleculare",5
"Presubiculum, layer 1",3
"Presubiculum, layer 2",9
"Presubiculum, layer 3",8
Posterior pretectal nucleus,2
Lateral posterior nucleus of the thalamus,33
"Nucleus of the lateral olfactory tract, layer 3",3
Principal sensory nucleus of the trigeminal,12
"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",2
Parataenial nucleus,3
"Superior colliculus, motor related, deep white layer",2
"Periventricular hypothalamic nucleus, intermediate part",3
Ectorhinal area/Layer 6a,15
"Primary somatosensory area, trunk, layer 4",14
"Primary somatosensory area, trunk, layer 5",30
"Subiculum, dorsal part, molecular layer",1
Subthalamic nucleus,6
Olivary pretectal nucleus,3
Lateral hypothalamic area,58
"Orbital area, ventrolateral part, layer 6a",5
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",9
"Taenia tecta, ventral part, layer 2",4
"Taenia tecta, ventral part, layer 3",5
"Taenia tecta, ventral part, layer 1",5
Medial habenula,7
Paracentral nucleus,3
"Primary somatosensory area, mouth, layer 1",4
"Superior central nucleus raphe, lateral part",7
Intercalated amygdalar nucleus,4
"Primary somatosensory area, mouth, layer 5",22
"Primary somatosensory area, mouth, layer 4",6
"Visceral area, layer 1",2
"Central amygdalar nucleus, lateral part",6
"Declive (VI), molecular layer",3
"Visceral area, layer 5",15
"Visceral area, layer 4",1
"Primary somatosensory area, nose, layer 4",3
"Primary somatosensory area, nose, layer 5",10
"Anterior cingulate area, ventral part, layer 1",18
"Primary somatosensory area, nose, layer 1",1
"Lobule II, molecular layer",15
"Primary somatosensory area, lower limb, layer 2/3",26
Parasolitary nucleus,2
"Basolateral amygdalar nucleus, ventral part",4
"Anteromedial visual area, layer 2/3",7
Linear nucleus of the medulla,2
"Parasubiculum, layer 2",4
"Parasubiculum, layer 3",8
"Primary somatosensory area, unassigned, layer 4",6
"Postsubiculum, layer 2",3
"Postsubiculum, layer 3",9
"Postsubiculum, layer 1",3
"Primary motor area, Layer 6b",7
"Primary motor area, Layer 6a",71
"Flocculus, molecular layer",6
Posterior complex of the thalamus,28
"Visceral area, layer 2/3",6
"Anteromedial nucleus, dorsal part",8
Anterior amygdalar area,15
"Superior colliculus, zonal layer",4
"Orbital area, medial part, layer 2/3",8
"Field CA2, stratum oriens",9
"Secondary motor area, layer 2/3",87
"Crus 2, molecular layer",11
"Supplemental somatosensory area, layer 6a",32
"Perirhinal area, layer 2/3",9
"Inferior colliculus, central nucleus",27
Nucleus of reunions,23
"Lobule III, molecular layer",25
"Lateral reticular nucleus, magnocellular part",5
"Cortical amygdalar area, posterior part, lateral zone, layer 2",9
"Cortical amygdalar area, posterior part, lateral zone, layer 3",11
"Cortical amygdalar area, posterior part, lateral zone, layer 1",7
Diagonal band nucleus,23
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",5
"Parabrachial nucleus, lateral division, dorsal lateral part",3
"Field CA1, pyramidal layer",55
"Orbital area, medial part, layer 6a",4
"Subiculum, dorsal part, pyramidal layer",23
"Copula pyramidis, granular layer",3
"Primary somatosensory area, barrel field, layer 1",3
"Mediodorsal nucleus of the thalamus, medial part",15
"Primary somatosensory area, barrel field, layer 4",35
"Retrosplenial area, lateral agranular part, layer 5",6
"Nucleus of the solitary tract, gelatinous part",1
"Spinal nucleus of the trigeminal, interpolar part",38
Paraventricular nucleus of the thalamus,19
"Primary somatosensory area, mouth, layer 2/3",14
"Dorsal peduncular area, layer 1",3
Edinger-Westphal nucleus,7
Dentate nucleus,7
"Dorsomedial nucleus of the hypothalamus, ventral part",2
"Crus 1, molecular layer",22
"Anterior hypothalamic nucleus, central part",7
Central linear nucleus raphe,2
"Cortical amygdalar area, posterior part, medial zone, layer 2",2
"Cortical amygdalar area, posterior part, medial zone, layer 3",11
"Subiculum, ventral part, pyramidal layer",56
"Anteromedial visual area, layer 4",5
"Anteromedial visual area, layer 5",13
"Primary somatosensory area, upper limb, layer 2/3",53
"Anteromedial visual area, layer 1",1
"Primary somatosensory area, mouth, layer 6a",6
"Primary somatosensory area, mouth, layer 6b",2
"Cochlear nucleus, subpedunclular granular region",1
"Dorsal auditory area, layer 2/3",18
"Entorhinal area, lateral part, layer 4/5",2
"Primary somatosensory area, nose, layer 6b",1
"Primary somatosensory area, nose, layer 6a",11
"Nucleus of the lateral olfactory tract, molecular layer",3
"Piriform area, pyramidal layer",89
"Dorsal auditory area, layer 6b",7
"Dorsal auditory area, layer 6a",12
Dopaminergic A13 group,1
Pontine central gray,12
"Entorhinal area, lateral part, layer 2/3",7
"Posterior parietal association areas, layer 6a",14
"Posterior parietal association areas, layer 6b",5
"Anterolateral visual area, layer 2/3",19
